date,floor,temperature,is_holiday,Seasonality_Features,Target
2024/1/10,23,7,FALSE,3,3.12500476
2024/1/10,24,7,FALSE,3,1.911892405
2024/1/10,25,7,FALSE,3,2.385174558
2024/1/10,26,7,FALSE,3,3.264591227
2024/1/11,1,11,FALSE,4,3.304166388
2024/1/11,2,11,FALSE,4,2.819694225
2024/1/11,3,11,FALSE,4,2.003988243
2024/1/11,4,11,FALSE,4,1.266399062
2024/1/11,5,11,FALSE,4,1.841900938
2024/1/11,6,11,FALSE,4,1.83479401
2024/1/11,7,11,FALSE,4,2.297277084
2024/1/11,8,11,FALSE,4,3.028269307
2024/1/11,9,11,FALSE,4,2.003222909
2024/1/11,10,11,FALSE,4,3.003091527
2024/1/11,11,11,FALSE,4,2.067971863
2024/1/11,12,11,FALSE,4,2.63026905
2024/1/11,13,11,FALSE,4,2.73814472
2024/1/11,14,11,FALSE,4,2.08100855
2024/1/11,15,11,FALSE,4,2.063315325
2024/1/11,16,11,FALSE,4,2.024902199
2024/1/11,17,11,FALSE,4,3.376908169
2024/1/11,18,11,FALSE,4,1.861046593
2024/1/11,19,11,FALSE,4,3.272851801
2024/1/11,20,11,FALSE,4,1.857383664
2024/1/11,21,11,FALSE,4,2.234284031
2024/1/11,22,11,FALSE,4,1.905771097
2024/1/11,23,11,FALSE,4,3.121229218
2024/1/11,24,11,FALSE,4,1.949175803
2024/1/11,25,11,FALSE,4,2.384871155
2024/1/11,26,11,FALSE,4,3.24914254
2024/1/12,1,16,FALSE,5,3.30189812
2024/1/12,2,16,FALSE,5,2.820984652
2024/1/12,3,16,FALSE,5,2.000148448
2024/1/12,4,16,FALSE,5,1.321657059
2024/1/12,5,16,FALSE,5,1.84352611
2024/1/12,6,16,FALSE,5,1.83424293
2024/1/12,7,16,FALSE,5,2.304072479
2024/1/12,8,16,FALSE,5,3.034741659
2024/1/12,9,16,FALSE,5,2.007416155
2024/1/12,10,16,FALSE,5,2.99786901
2024/1/12,11,16,FALSE,5,2.075840648
2024/1/12,12,16,FALSE,5,2.631938057
2024/1/12,13,16,FALSE,5,2.733203931
2024/1/12,14,16,FALSE,5,2.079722327
2024/1/12,15,16,FALSE,5,2.067971863
2024/1/12,16,16,FALSE,5,2.021238794
2024/1/12,17,16,FALSE,5,3.377343905
2024/1/12,18,16,FALSE,5,1.858433102
2024/1/12,19,16,FALSE,5,3.282184071
2024/1/12,20,16,FALSE,5,1.872377752
2024/1/12,21,16,FALSE,5,2.234729521
2024/1/12,22,16,FALSE,5,1.90339517
2024/1/12,23,16,FALSE,5,3.140854283
2024/1/12,24,16,FALSE,5,1.988428187
2024/1/12,25,16,FALSE,5,2.386989878
2024/1/12,26,16,FALSE,5,3.250213908
2024/1/13,1,16,TRUE,6,3.301443964
2024/1/13,2,16,TRUE,6,2.825027687
2024/1/13,3,16,TRUE,6,1.997440911
2024/1/13,4,16,TRUE,6,1.263169331
2024/1/13,5,16,TRUE,6,1.655186636
2024/1/13,6,16,TRUE,6,1.133324105
2024/1/13,7,16,TRUE,6,2.304259575
2024/1/13,8,16,TRUE,6,3.015775393
2024/1/13,9,16,TRUE,6,1.60450221
2024/1/13,10,16,TRUE,6,2.97940504
2024/1/13,11,16,TRUE,6,1.755368174
2024/1/13,12,16,TRUE,6,2.629431399
2024/1/13,13,16,TRUE,6,2.683981313
2024/1/13,14,16,TRUE,6,1.816266054
2024/1/13,15,16,TRUE,6,1.688127585
2024/1/13,16,16,TRUE,6,1.656766873
2024/1/13,17,16,TRUE,6,3.307654606
2024/1/13,18,16,TRUE,6,1.215981392
2024/1/13,19,16,TRUE,6,3.221629954
2024/1/13,20,16,TRUE,6,1.736197151
2024/1/13,21,16,TRUE,6,2.055896266
2024/1/13,22,16,TRUE,6,1.449497958
2024/1/13,23,16,TRUE,6,3.048061951
2024/1/13,24,16,TRUE,6,1.584937596
2024/1/13,25,16,TRUE,6,2.233391582
2024/1/13,26,16,TRUE,6,3.124386301
2024/1/14,1,20,TRUE,6,3.294733325
2024/1/14,2,20,TRUE,6,2.77167577
2024/1/14,3,20,TRUE,6,1.997828703
2024/1/14,4,20,TRUE,6,1.187225071
2024/1/14,5,20,TRUE,6,1.656766873
2024/1/14,6,20,TRUE,6,1.123172813
2024/1/14,7,20,TRUE,6,2.291523387
2024/1/14,8,20,TRUE,6,2.672077745
2024/1/14,9,20,TRUE,6,1.570236275
2024/1/14,10,20,TRUE,6,2.767442433
2024/1/14,11,20,TRUE,6,1.744220105
2024/1/14,12,20,TRUE,6,2.626290577
2024/1/14,13,20,TRUE,6,2.726775532
2024/1/14,14,20,TRUE,6,1.854221376
2024/1/14,15,20,TRUE,6,1.702028249
2024/1/14,16,20,TRUE,6,1.681407288
2024/1/14,17,20,TRUE,6,3.150645677
2024/1/14,18,20,TRUE,6,1.219480062
2024/1/14,19,20,TRUE,6,3.008787759
2024/1/14,20,20,TRUE,6,1.72598302
2024/1/14,21,20,TRUE,6,2.047657033
2024/1/14,22,20,TRUE,6,1.468966714
2024/1/14,23,20,TRUE,6,2.971575064
2024/1/14,24,20,TRUE,6,1.611438761
2024/1/14,25,20,TRUE,6,2.236728194
2024/1/14,26,20,TRUE,6,3.1334881
2024/1/15,1,7,FALSE,1,3.320417811
2024/1/15,2,7,FALSE,1,2.82139973
2024/1/15,3,7,FALSE,1,1.998603283
2024/1/15,4,7,FALSE,1,1.198171985
2024/1/15,5,7,FALSE,1,1.842443277
2024/1/15,6,7,FALSE,1,1.83479401
2024/1/15,7,7,FALSE,1,2.294218882
2024/1/15,8,7,FALSE,1,3.02266241
2024/1/15,9,7,FALSE,1,1.994716962
2024/1/15,10,7,FALSE,1,2.959758817
2024/1/15,11,7,FALSE,1,2.072579242
2024/1/15,12,7,FALSE,1,2.635251164
2024/1/15,13,7,FALSE,1,2.734418882
2024/1/15,14,7,FALSE,1,2.078432282
2024/1/15,15,7,FALSE,1,2.0538509
2024/1/15,16,7,FALSE,1,2.025995359
2024/1/15,17,7,FALSE,1,3.384092891
2024/1/15,18,7,FALSE,1,1.863645766
2024/1/15,19,7,FALSE,1,3.30165889
2024/1/15,20,7,FALSE,1,1.833138864
2024/1/15,21,7,FALSE,1,2.218608027
2024/1/15,22,7,FALSE,1,1.906244834
2024/1/15,23,7,FALSE,1,3.154107515
2024/1/15,24,7,FALSE,1,2.091163216
2024/1/15,25,7,FALSE,1,2.388195265
2024/1/15,26,7,FALSE,1,3.15922465
2024/1/16,1,11,FALSE,2,3.305357718
2024/1/16,2,11,FALSE,2,2.826213637
2024/1/16,3,11,FALSE,2,1.972722101
2024/1/16,4,11,FALSE,2,1.194545268
2024/1/16,5,11,FALSE,2,1.841357984
2024/1/16,6,11,FALSE,2,1.83917998
2024/1/16,7,11,FALSE,2,2.293258315
2024/1/16,8,11,FALSE,2,3.030725174
2024/1/16,9,11,FALSE,2,1.996664323
2024/1/16,10,11,FALSE,2,3.006051706
2024/1/16,11,11,FALSE,2,2.069952418
2024/1/16,12,11,FALSE,2,2.630040808
2024/1/16,13,11,FALSE,2,2.709542105
2024/1/16,14,11,FALSE,2,2.079400175
2024/1/16,15,11,FALSE,2,2.055896266
2024/1/16,16,11,FALSE,2,2.036781283
2024/1/16,17,11,FALSE,2,3.370485426
2024/1/16,18,11,FALSE,2,1.866746074
2024/1/16,19,11,FALSE,2,3.309708091
2024/1/16,20,11,FALSE,2,1.799967443
2024/1/16,21,11,FALSE,2,2.198189325
2024/1/16,22,11,FALSE,2,1.936488724
2024/1/16,23,11,FALSE,2,3.164540562
2024/1/16,24,11,FALSE,2,2.085480538
2024/1/16,25,11,FALSE,2,2.387291586
2024/1/16,26,11,FALSE,2,3.162093125
2024/1/17,1,18,FALSE,3,3.295871976
2024/1/17,2,18,FALSE,3,2.818942376
2024/1/17,3,18,FALSE,3,2.048349564
2024/1/17,4,18,FALSE,3,1.19272361
2024/1/17,5,18,FALSE,3,1.842443277
2024/1/17,6,18,FALSE,3,1.838087249
2024/1/17,7,18,FALSE,3,2.291330146
2024/1/17,8,18,FALSE,3,3.012504046
2024/1/17,9,18,FALSE,3,2.051452534
2024/1/17,10,18,FALSE,3,2.986505268
2024/1/17,11,18,FALSE,3,2.069952418
2024/1/17,12,18,FALSE,3,2.628285746
2024/1/17,13,18,FALSE,3,2.701021731
2024/1/17,14,18,FALSE,3,2.081650236
2024/1/17,15,18,FALSE,3,2.074213
2024/1/17,16,18,FALSE,3,2.035358246
2024/1/17,17,18,FALSE,3,3.362379359
2024/1/17,18,18,FALSE,3,1.858433102
2024/1/17,19,18,FALSE,3,3.295771011
2024/1/17,20,18,FALSE,3,1.802918413
2024/1/17,21,18,FALSE,3,2.194276119
2024/1/17,22,18,FALSE,3,1.947879486
